run_alias,_timestamp,_runtime,gpu_0_sm_active,gpu_1_sm_active,gpu_2_sm_active,gpu_3_sm_active,gpu_4_sm_active,gpu_5_sm_active,gpu_6_sm_active,gpu_7_sm_active,gpu_0_power_watts,gpu_1_power_watts,gpu_2_power_watts,gpu_3_power_watts,gpu_4_power_watts,gpu_5_power_watts,gpu_6_power_watts,gpu_7_power_watts
sync,1783598776.2902648,1305.943493887,51.83615759781852,55.04642256984614,54.010825354292614,52.567782322018566,53.8768542414063,53.98794476125688,53.671472100293684,51.861247204750825,499.548,553.504,502.936,505.258,514.666,503.621,498.104,494.487
sync,1783598791.0906372,1320.743866261,,,,,,,,,,,,,,,,
sync,1783598791.2943099,1320.947538915,0,8.6593499539625,1.3958084825717418,21.721777505530397,0,9.132939242350686,1.5842709499274206,8.589045745282824,374.054,337.591,350.516,313.833,345.272,346.503,375.892,333.562
sync,1783598806.0895412,1335.742770247,,,,,,,,,,,,,,,,
sync,1783598806.291394,1335.944622901,62.12048759208938,61.19242481949563,61.1397371598715,63.211345627856275,60.36462309938736,59.371906631290095,64.04761538533769,59.26937531678934,605.488,610.993,611.003,617.212,599.115,570.563,609.739,601.88
sync,1783598821.090022,1350.74325114,,,,,,,,,,,,,,,,
sync,1783598821.4157045,1351.068933591,0,0,0,0,0,0,0,0,251.16,248.46,244.353,245.404,249.002,247.068,288.171,246.138
sync,1783598836.0901225,1365.743351513,,,,,,,,,,,,,,,,
sync,1783598836.2990324,1365.952261475,0,0,0,0,0,0,0,0,369.704,438.079,360.518,444.087,441.746,376.111,432.625,389.872
sync,1783598851.0903425,1380.743571575,,,,,,,,,,,,,,,,
sync,1783598851.2906988,1380.943927656,58.93413342614259,53.65797213608939,58.152881740328176,59.455523487966225,58.943728602934456,57.438337324496416,59.94970164497258,54.11191558813331,578.762,539.403,560.863,571.535,574.456,562.238,581.071,528.067
sync,1783598866.0894933,1395.742722245,,,,,,,,,,,,,,,,
sync,1783598866.2899454,1395.943174269,0,0,0,0,0,0,0,0,659.414,572.437,604.921,658.419,588.49,579.961,598.421,627.324
sync,1783598881.0904014,1410.743630448,,,,,,,,,,,,,,,,
sync,1783598881.3780022,1411.031231169,67.29860973926522,66.92634568550656,65.39015092595812,65.56491037624467,66.97385868043455,66.66183076543155,67.38099613791873,66.02631705749384,332.472,366.351,367.339,352.012,376.404,388.859,387.168,383.988
sync,1783598896.0899293,1425.743158303,,,,,,,,,,,,,,,,
