run_alias,_timestamp,_runtime,gpu_0_sm_active,gpu_1_sm_active,gpu_2_sm_active,gpu_3_sm_active,gpu_4_sm_active,gpu_5_sm_active,gpu_6_sm_active,gpu_7_sm_active,gpu_0_power_watts,gpu_1_power_watts,gpu_2_power_watts,gpu_3_power_watts,gpu_4_power_watts,gpu_5_power_watts,gpu_6_power_watts,gpu_7_power_watts
streamweave,1783610106.7835007,3077.601044737,92.38510031276785,92.3273477130044,72.33775482354893,74.44944937726518,71.3751386504354,72.966059652193,72.05073752954503,71.84937136516056,908.556,884.563,617.841,634.819,634.329,657.068,631.853,629.89
streamweave,1783610121.5828562,3092.400400146,,,,,,,,,,,,,,,,
streamweave,1783610121.7832434,3092.600787406,0,0,69.99222065506952,69.3637540808366,73.26376580091379,70.85861843515198,68.78842013619206,77.22211130033652,569.272,538.68,589.841,581.304,581.68,586.184,586.386,605.592
streamweave,1783610136.5826645,3107.400208456,,,,,,,,,,,,,,,,
streamweave,1783610136.9146955,3107.732239492,90.74766126139406,87.87970782434333,68.31641553217764,65.75837963077319,65.04902888066812,65.09743577150958,66.75638092769405,66.6675289840283,872.21,841.854,578.216,562.095,574.735,568.231,539.588,549.265
streamweave,1783610151.5827012,3122.400245189,,,,,,,,,,,,,,,,
streamweave,1783610151.783142,3122.600686049,88.38137117578347,88.35710295541475,72.91226190362885,74.40143788219147,74.3474592174847,74.42231873462151,74.69165440718584,73.81032662005904,903.998,879.259,669.988,663.574,670.319,664.08,664.105,661.04
streamweave,1783610166.5826538,3137.400197785,,,,,,,,,,,,,,,,
streamweave,1783610166.7828994,3137.600443483,0,0,74.18701107576003,73.5486121971033,73.13726638363545,72.84654389252802,71.56162354451514,76.00547585111454,755.972,705.907,665.78,658.968,666.775,673.98,658.121,677.736
streamweave,1783610181.582685,3152.4002291,,,,,,,,,,,,,,,,
streamweave,1783610181.7830763,3152.600620295,84.74124995688477,90.92360769263104,66.65245285672792,65.14029404269947,65.39828500229116,66.10583865618845,66.6996260089602,58.97052393332734,899.057,903.253,558.259,529.907,534.63,552.791,555.173,514.06
streamweave,1783610196.5821478,3167.399691932,,,,,,,,,,,,,,,,
streamweave,1783610196.782664,3167.600208135,86.33975247218889,80.39870629563242,73.41851032650631,69.083835395089,73.42026986053916,70.40125448794586,70.86459425841073,64.60857372572441,911.389,876.048,656.475,642.561,655.268,667.121,654.797,645.939
streamweave,1783610211.5827575,3182.400301513,,,,,,,,,,,,,,,,
streamweave,1783610211.7831533,3182.600697246,82.98983575784116,80.04416973154298,65.48543905900269,60.091783681470986,67.01003555321307,63.18027660121063,64.18168485178566,63.41113009729049,887.87,878.018,576.49,563.323,596.734,598.34,591.499,592.06
streamweave,1783610226.5828452,3197.400389122,,,,,,,,,,,,,,,,
streamweave,1783610226.7832117,3197.600755701,92.82935229365081,90.15209423592381,65.55041011185864,67.0685638515869,66.42623474225537,66.7557216120523,66.59760926155525,65.40344026955941,903.677,899.503,574.483,570.539,569.003,572.991,564.019,583.84
streamweave,1783610241.582139,3212.399682957,,,,,,,,,,,,,,,,
streamweave,1783610241.7825737,3212.600117717,91.87419400829756,90.03447825013386,75.19656060009592,74.66016233970578,74.91037748841995,74.97315901217367,75.46942400706797,74.96024812775174,844.204,832.527,668.613,668.134,676.166,679.985,669.731,680.271
streamweave,1783610256.5819716,3227.399515623,,,,,,,,,,,,,,,,
streamweave,1783610256.7823992,3227.599943132,83.96006914713334,83.77749246074048,67.51348636407623,0,65.04558862523649,66.77322975974671,67.05004595209316,66.71055510237728,874.969,834.648,551.291,240.868,543.73,553.367,537.964,560.003
streamweave,1783610271.5818722,3242.39941611,,,,,,,,,,,,,,,,
streamweave,1783610271.782499,3242.600042987,78.75532130896069,86.36562563755994,74.6732348204424,74.16247362998739,74.17676924301963,74.73879060106331,74.23822696182295,74.41040619583691,863.245,887.406,661.475,652.505,664.692,672.739,662.774,666.037
streamweave,1783610286.581953,3257.399496939,,,,,,,,,,,,,,,,
streamweave,1783610286.782451,3257.599994953,84.48876689891837,86.58359348205276,77.22912637036835,73.79435782334642,73.42865129460122,74.43814494002375,76.38402538455614,76.79498633805318,906.412,877.192,673.49,663.742,672.857,666.015,677.259,683.256
streamweave,1783610301.5826645,3272.400208461,,,,,,,,,,,,,,,,
streamweave,1783610301.7829611,3272.600505104,89.07933684656749,88.21749893167396,66.35585674183203,66.14711638903725,65.07752765711493,56.286004364257,65.85438053803901,55.83669922813015,915.886,913.851,548.149,545.141,540.846,513.643,553.232,519.539
streamweave,1783610316.5826485,3287.400192634,,,,,,,,,,,,,,,,
streamweave,1783610316.783115,3287.600659015,90.49068140608773,90.63860129975501,74.16216092854657,74.65404341123049,69.80816330890116,73.11705433452947,71.06215353152285,73.35597463043759,860.748,840.402,662.433,664.59,673.668,667.993,667.4,665.171
streamweave,1783610331.5826838,3302.400227777,,,,,,,,,,,,,,,,
