run_alias,history_index,groups,training_time_s,power_samples,mean_power_watts,throughput_groups_per_s,energy_per_group_joules,trimmed_energy_per_group_joules
streamweave,116,461,89.450669,6,4564.609833,5.153679,885.699354,951.748809
streamweave,117,443,81.893784,5,5159.913800,5.409446,953.871031,873.131129
streamweave,118,468,88.883481,6,4991.078000,5.265320,947.915354,884.324968
streamweave,119,447,88.197115,6,4845.390500,5.068193,956.039072,915.926205
streamweave,121,468,89.370453,6,4540.452667,5.236630,867.056225,889.479775
streamweave,122,475,86.463737,6,4895.135833,5.493633,891.056292,960.968671
streamweave,123,468,88.259699,6,5285.173000,5.302533,996.726024,1007.040952
streamweave,124,475,92.204098,6,5418.875500,5.151615,1051.879004,1050.417181
streamweave,126,475,92.229435,6,4905.955000,5.150200,952.575704,1011.888939
streamweave,127,450,86.664741,6,4883.945167,5.192423,940.590762,896.270718
streamweave,128,468,92.136856,6,4788.004833,5.079401,942.631867,871.208560
streamweave,129,468,85.652148,6,5306.635833,5.463961,971.206745,934.644793
streamweave,131,468,89.967719,6,4520.434000,5.201866,869.002423,1000.785042
streamweave,132,436,82.763336,5,4752.071800,5.268033,902.058060,904.263602
streamweave,133,468,81.634621,6,5209.413500,5.732862,908.693365,861.205608
streamweave,134,461,89.651570,6,4953.743167,5.142130,963.364108,901.649422
streamweave,136,468,96.548297,6,4758.267167,4.847315,981.629470,1066.437418
streamweave,137,475,91.923895,6,4626.103333,5.167318,895.261973,938.982558
streamweave,138,454,86.862714,5,5047.517600,5.226638,965.729252,895.228501
streamweave,139,475,95.103751,7,4522.183286,4.994545,905.424406,1020.264511
streamweave,141,468,91.834636,6,4654.930333,5.096116,913.426997,971.792307
streamweave,142,475,91.273159,6,4784.615333,5.204159,919.383068,1012.504781
streamweave,143,454,89.633508,6,4978.817667,5.065070,982.971126,974.068798
streamweave,144,447,88.549502,6,4928.237833,5.048024,976.270707,933.442694
streamweave,146,461,92.676319,6,4818.269500,4.974302,968.632275,1047.383424
streamweave,147,475,88.004690,6,5170.989667,5.397440,958.044936,996.256449
streamweave,148,454,91.112660,6,5131.122167,4.982842,1029.758127,1092.621514
streamweave,149,468,91.108983,7,4308.665000,5.136705,838.799334,1009.078987
streamweave,151,475,93.818746,6,4934.738167,5.062954,974.675675,1079.973309
streamweave,152,461,94.296239,6,5075.089833,4.888848,1038.095192,1043.576783
streamweave,153,461,97.140462,6,5067.464500,4.745705,1067.800098,989.136184
streamweave,154,454,89.717340,6,5262.661000,5.060337,1039.982257,1032.912521
streamweave,156,436,91.094747,7,4076.876857,4.786225,851.793728,1027.756591
streamweave,157,468,92.156677,6,4911.553000,5.078308,967.163255,939.518615
streamweave,158,475,92.683883,6,5062.046500,5.124947,987.726584,949.284773
streamweave,159,468,91.174767,6,4715.101000,5.132999,918.585968,868.289594
streamweave,161,475,86.570775,6,4854.763167,5.486840,884.801280,838.603621
streamweave,162,461,89.055521,6,4573.419167,5.176546,883.488557,967.560800
streamweave,163,447,93.284976,6,5268.156000,4.791768,1099.417908,1069.832432
streamweave,164,454,94.883777,6,5149.806833,4.784801,1076.284412,1033.484026
streamweave,166,468,92.111818,6,5310.927667,5.080781,1045.297438,1053.461504
streamweave,167,461,90.009707,5,5348.102800,5.121670,1044.210776,984.733338
streamweave,168,429,84.204380,6,4953.966500,5.094747,972.367543,1036.774914
streamweave,169,468,96.437859,6,5173.619167,4.852866,1066.095627,1044.508864
streamweave,171,440,88.045055,5,5234.773400,4.997441,1047.490708,1029.534972
streamweave,172,461,93.438864,7,4296.144571,4.933707,870.774117,1007.863205
streamweave,173,461,89.624409,6,4534.020167,5.143688,881.472618,832.983156
streamweave,174,461,94.063256,6,5078.174500,4.900957,1036.159709,963.880973
streamweave,176,461,95.456108,6,5035.489167,4.829445,1042.664205,1142.684934
streamweave,177,468,95.442999,7,4725.028857,4.903450,963.613081,986.306111
streamweave,178,454,88.016577,6,5248.656667,5.158119,1017.552413,1018.915378
streamweave,179,447,89.459844,6,5082.553167,4.996655,1017.191078,1011.849672
streamweave,181,454,90.948873,6,5268.398167,4.991816,1055.407215,1015.023228
streamweave,182,461,91.863754,7,4066.009714,5.018301,810.236263,936.028766
streamweave,183,454,96.897749,6,5195.292667,4.685351,1108.837368,1076.868386
streamweave,184,461,94.623263,6,4912.316667,4.871952,1008.285107,1056.560024
streamweave,186,461,94.463104,7,4516.671286,4.880212,925.507131,1081.633149
streamweave,187,454,98.156527,6,5228.078333,4.625266,1130.330421,1094.008597
streamweave,188,454,97.588484,7,5076.539429,4.652188,1091.215386,1131.765244
streamweave,189,475,101.111266,6,4983.039333,4.697795,1060.718769,981.832381
