run,cycle,groups,time_s,request_mean_s,request_max_s,generation_phase_s
sync,91,128,51.30934492405504,10.303741279381939,27.010844341479242,28.615511015057564
sync,92,128,52.28468627668917,10.129135555363973,27.768005050718784,29.64816710539162
sync,93,128,55.81808234844357,13.12309815590379,30.88089445885271,32.26253475807607
sync,94,128,53.150350716896355,12.468495823603917,28.999675074592233,30.36546141281724
sync,95,128,53.17933014687151,11.8327323741305,29.085206878371537,30.48549894988537
sync,96,128,53.26796752680093,11.281834160534345,28.720956403762102,30.038807089440525
sync,97,128,54.536366341635585,14.095243675568781,30.136157544329762,31.464218911714852
sync,98,128,52.97579232417047,13.887243419831066,30.25572842732072,31.516805390827358
sync,99,128,51.12721906602383,13.009655007753281,29.87797472719103,31.170114829204977
sync,100,128,55.61003463808447,12.413082110275354,28.549523817375302,29.88354167714715
sync,101,128,52.01158573012799,16.064017173263892,30.136612414382398,31.603758585639298
sync,102,128,53.73321456462145,16.553403130406878,30.96020409464836,32.38062135595828
sync,103,128,59.06719161570072,20.771885647634008,37.352618496865034,38.618788436986506
sync,104,128,59.30566013138741,24.785403410493927,37.8471693713218,39.296968849375844
